FAMID ID ILMN_1786759 ILMN_1662174 ILMN_1797861 ILMN_1666206 ILMN_1849013 ILMN_1797428 ILMN_2374770 ILMN_2341724 ILMN_1798947 ILMN_1682727 ILMN_1691693
2090 2090 0.0358115887 -0.135937534 -0.2515124381 -0.5335625895 -0.258387974 -0.1805526 0.063434193 -0.4824089775 -0.3443933701 -0.1120471731 -0.101162162
2133 2133 NA NA NA NA NA NA NA NA NA NA NA
2140 2140 -0.1277092993 0.100460414 0.2212275537 -0.1283739682 0.495670038 0.37936 -0.152533344 1.024078285 0.7088118362 0.3261841333 0.426632265
2144 2144 -0.0706842832 -0.35724609 0.1532952585 0.1253851258 -0.278873164 -0.6448042 0.067676626 -0.6899440671 -0.6429021349 -0.1713530325 -0.861127383
2145 2145 0.0036533152 -0.109002954 -0.3878196176 0.1170714533 -0.31279797 -0.5508263 0.012944642 -1.2936287077 -1.2219171237 -0.0095317305 -0.703148799
2148 2148 0.1342535968 -0.350742282 -0.6280593941 -0.2204186981 -0.221708857 -0.06259788 -0.303521332 -0.1263469601 -0.1840450527 0.3990775245 0.155257587
2166 2166 NA NA NA NA NA NA NA NA NA NA NA
2197 2197 NA NA NA NA NA NA NA NA NA NA NA
2203 2203 NA NA NA NA NA NA NA NA NA NA NA
2222 2222 -0.0079841524 0.427898976 0.4729617524 0.4630565803 0.059777751 -0.1825831 -0.129677862 -0.4156255761 -0.0125166848 0.4759107192 -0.264371311
2231 2231 -0.1387013987 -0.474111405 -0.0254163769 0.073578621 0.042421915 -0.03886835 -0.154936767 -0.0730414104 0.0005776437 -0.0228029788 -0.134960991
2233 2233 -0.1264243286 0.092222573 -0.0271604756 0.3270586568 -0.076780514 0.4414669 0.001710752 0.2848452147 -0.0103875392 -0.3737679221 0.320707812
2257 2257 0.1774846176 0.072937488 -0.5631842843 -0.2050449674 0.183832728 0.2760442 -0.079177593 0.5597348319 0.4864614786 -0.549575477 0.505409423
2261 2261 0.0941516199 -0.04969534 0.7144763349 -0.4113461041 0.505622353 -0.508606 -0.087190463 1.2742156995 1.4599814903 -0.2984158634 -0.532860552
2264 2264 -0.1714648909 0.130884584 0.2685807518 -0.4834887722 -0.175110864 -0.1585414 0.036029677 -0.0798543419 -0.0652086947 0.1094948241 -0.583165327
2265 2265 NA NA NA NA NA NA NA NA NA NA NA
2281 2281 NA NA NA NA NA NA NA NA NA NA NA
2305 2305 NA NA NA NA NA NA NA NA NA NA NA
2311 2311 NA NA NA NA NA NA NA NA NA NA NA
2322 2322 NA NA NA NA NA NA NA NA NA NA NA
2330 2330 NA NA NA NA NA NA NA NA NA NA NA
2345 2345 NA NA NA NA NA NA NA NA NA NA NA
2348 2348 NA NA NA NA NA NA NA NA NA NA NA
2367 2367 NA NA NA NA NA NA NA NA NA NA NA
2368 2368 NA NA NA NA NA NA NA NA NA NA NA
2379 2379 NA NA NA NA NA NA NA NA NA NA NA
2390 2390 NA NA NA NA NA NA NA NA NA NA NA
2437 2437 NA NA NA NA NA NA NA NA NA NA NA
2439 2439 NA NA NA NA NA NA NA NA NA NA NA
2476 2476 NA NA NA NA NA NA NA NA NA NA NA
2493 2493 NA NA NA NA NA NA NA NA NA NA NA
2506 2506 NA NA NA NA NA NA NA NA NA NA NA
2507 2507 NA NA NA NA NA NA NA NA NA NA NA
2510 2510 NA NA NA NA NA NA NA NA NA NA NA
2511 2511 NA NA NA NA NA NA NA NA NA NA NA
2519 2519 NA NA NA NA NA NA NA NA NA NA NA
2549 2549 NA NA NA NA NA NA NA NA NA NA NA
2759 2759 NA NA NA NA NA NA NA NA NA NA NA
2767 2767 NA NA NA NA NA NA NA NA NA NA NA
